ETL_Mobility,ETL_Doping,HTL_Mobility,HTL_Doping,PCE,VOC,JSC,FF
4.00E-03,1.00E+19,4.00E+00,1.00E+16,18.76852,1.01824,22.6916,81.23008
4.00E-03,1.00E+19,4.00E+00,1.00E+17,19.524,1.02403,22.66698,84.11292
4.00E-03,1.00E+19,4.00E+00,1.00E+18,20.69016,1.04853,22.66414,87.06502
4.00E-03,1.00E+19,4.00E+00,1.00E+19,21.94605,1.09446,22.66344,88.47725
8.62E-03,1.00E+15,4.00E-03,1.00E+15,11.00655,1.01668,22.72413,47.64101
8.62E-03,1.00E+15,4.00E-03,1.00E+16,13.19277,1.01782,22.68177,57.14602
8.62E-03,1.00E+15,4.00E-03,1.00E+17,14.55496,1.02365,22.66538,62.73326
8.62E-03,1.00E+15,4.00E-03,1.00E+18,15.72467,1.04798,22.66291,66.20816
8.62E-03,1.00E+15,4.00E-03,1.00E+19,16.98065,1.09204,22.66259,68.61317
8.62E-03,1.00E+15,8.62E-03,1.00E+15,12.23007,1.0168,22.73364,52.90826
8.62E-03,1.00E+15,8.62E-03,1.00E+16,13.62813,1.01783,22.68093,59.03375
8.62E-03,1.00E+15,8.62E-03,1.00E+17,14.60876,1.02365,22.66524,62.96553
8.62E-03,1.00E+15,8.62E-03,1.00E+18,15.72969,1.04798,22.6629,66.22934
8.62E-03,1.00E+15,8.62E-03,1.00E+19,16.98127,1.09204,22.66259,68.61566
8.62E-03,1.00E+15,1.86E-02,1.00E+15,12.99915,1.01688,22.73971,56.2163
8.62E-03,1.00E+15,1.86E-02,1.00E+16,13.84384,1.01783,22.68062,59.96904
8.62E-03,1.00E+15,1.86E-02,1.00E+17,14.6331,1.02365,22.66518,63.07059
8.62E-03,1.00E+15,1.86E-02,1.00E+18,15.73201,1.04798,22.66289,66.23912
8.62E-03,1.00E+15,1.86E-02,1.00E+19,16.98155,1.09204,22.66259,68.61681
8.62E-03,1.00E+15,4.00E-02,1.00E+15,13.42709,1.01691,22.74297,58.05663
8.62E-03,1.00E+15,4.00E-02,1.00E+16,13.93751,1.01783,22.68051,60.37504
8.62E-03,1.00E+15,4.00E-02,1.00E+17,14.64393,1.02365,22.66515,63.11737
8.62E-03,1.00E+15,4.00E-02,1.00E+18,15.73308,1.04798,22.66289,66.24365
8.62E-03,1.00E+15,4.00E-02,1.00E+19,16.98169,1.09204,22.66259,68.61735
8.62E-03,1.00E+15,8.62E-02,1.00E+15,13.66927,1.01692,22.74463,59.09865
8.62E-03,1.00E+15,8.62E-02,1.00E+16,13.9792,1.01783,22.68047,60.55571
8.62E-03,1.00E+15,8.62E-02,1.00E+17,14.64906,1.02365,22.66514,63.13949
8.62E-03,1.00E+15,8.62E-02,1.00E+18,15.73358,1.04798,22.66289,66.24575
8.62E-03,1.00E+15,8.62E-02,1.00E+19,16.98175,1.09204,22.66259,68.6176
8.62E-03,1.00E+15,1.86E-01,1.00E+15,13.77987,1.01693,22.7455,59.57409
8.62E-03,1.00E+15,1.86E-01,1.00E+16,13.99833,1.01783,22.68045,60.6386
8.62E-03,1.00E+15,1.86E-01,1.00E+17,14.65143,1.02365,22.66513,63.14973
8.62E-03,1.00E+15,1.86E-01,1.00E+18,15.73381,1.04798,22.66289,66.24672
8.62E-03,1.00E+15,1.86E-01,1.00E+19,16.98178,1.09204,22.66259,68.61771
8.62E-03,1.00E+15,4.00E-01,1.00E+15,13.83077,1.01694,22.746,59.7926
8.62E-03,1.00E+15,4.00E-01,1.00E+16,14.00713,1.01783,22.68044,60.67675
8.62E-03,1.00E+15,4.00E-01,1.00E+17,14.65253,1.02365,22.66513,63.15447
8.62E-03,1.00E+15,4.00E-01,1.00E+18,15.73392,1.04798,22.66289,66.24718
8.62E-03,1.00E+15,4.00E-01,1.00E+19,16.98179,1.09204,22.66259,68.61777
8.62E-03,1.00E+15,8.62E-01,1.00E+15,13.85427,1.01694,22.74631,59.89328
8.62E-03,1.00E+15,8.62E-01,1.00E+16,14.0112,1.01783,22.68044,60.69439
